Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,H044.bmp,406.jpg,2,89,9999,None,TBF_neg,IMDF_scanner,no,9999,59,59,2,1,TBF,two,136
neu,neutral_003.jpg,102.jpg,2,32,9999,None,TBF_neu,IMDF_scanner,no,32,9999,2,1,1,TBF,one,137
neg,Landscapes_002_h.jpg,884.jpg,2,9999,77,green,TBR_neg,IMDF_scanner,no,9999,77,107,4,1,TBR,two,138
neu,neutral_201.jpg,446.jpg,2,9999,34,None,TBF_neu,IMDF_scanner,no,64,9999,64,3,1,TBF,one,139
neu,neutral_568.jpg,542.jpg,2,9999,48,None,TBF_neu,IMDF_scanner,no,78,9999,78,3,1,TBF,two,140
neu,neutral_560.jpg,538.jpg,2,9999,47,green,TBR_neu,IMDF_scanner,no,77,9999,77,3,1,TBR,two,141
neg,Animals_033_h.jpg,245.jpg,2,61,9999,None,TBF_neg,IMDF_scanner,no,9999,31,31,2,1,TBF,one,142
neu,neutral_073.jpg,116.jpg,2,35,9999,green,TBR_neu,IMDF_scanner,no,35,9999,5,1,1,TBR,one,143
neu,neutral_585.jpg,132.jpg,2,40,9999,green,TBR_neu,IMDF_scanner,no,40,9999,10,1,1,TBR,one,144
neu,neutral_504.jpg,130.jpg,2,39,9999,None,TBF_neu,IMDF_scanner,no,39,9999,9,1,1,TBF,one,145
neg,People_003_h.jpg,896.jpg,2,9999,79,green,TBR_neg,IMDF_scanner,no,9999,79,109,4,1,TBR,two,146
neg,1930.jpg,366.jpg,2,81,9999,green,TBR_neg,IMDF_scanner,no,9999,51,51,2,1,TBR,two,147
neu,neutral_096.jpg,118.jpg,2,36,9999,None,TBF_neu,IMDF_scanner,no,36,9999,6,1,1,TBF,one,148
neg,Animals_018_h.jpg,748.jpg,2,9999,61,green,TBR_neg,IMDF_scanner,no,9999,61,91,4,1,TBR,one,149
neg,Objects_206_h.jpg,280.jpg,2,68,9999,green,TBR_neg,IMDF_scanner,no,9999,38,38,2,1,TBR,one,150
neg,Animals_060_h.jpg,848.jpg,2,9999,72,green,TBR_neg,IMDF_scanner,no,9999,72,102,4,1,TBR,one,151
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,152
neg,Objects_145_h.jpg,353.jpg,2,79,9999,None,TBF_neg,IMDF_scanner,no,9999,49,49,2,1,TBF,two,153
neg,Animals_013_h.jpg,845.jpg,2,9999,71,None,TBF_neg,IMDF_scanner,no,9999,71,101,4,1,TBF,one,154
None,,,2,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,155
neg,People_239_h.jpg,281.jpg,2,69,9999,None,TBF_neg,IMDF_scanner,no,9999,39,39,2,1,TBF,one,156
neu,neutral_673.jpg,952.jpg,,92,9999,green,TBRneuFILLER,IMDF_scanner,yes,92,9999,122,5,1,TBR,9999,157
neg,1050.jpg,953.jpg,,93,9999,None,TBRnegFILLER,IMDF_scanner,yes,9999,91,123,5,1,TBF,9999,158
