condition,order,null_ID,neu_ID,neg_ID,TBR_ID,TBF_ID,Scene,Object,filler,repetition,exp_ID
TBFneg,4,98,68,9999,68,9999,People_058_h.jpg,809.jpg,no,one,IMDF_scanner
TBFneg,4,99,69,9999,69,9999,People_217_h.jpg,82.jpg,no,one,IMDF_scanner
TBFneg,4,100,70,9999,70,9999,People_233_h.jpg,836.jpg,no,one,IMDF_scanner
TBFneg,4,101,71,9999,71,9999,Animals_013_h.jpg,845.jpg,no,one,IMDF_scanner
TBFneg,4,102,72,9999,72,9999,Animals_060_h.jpg,848.jpg,no,one,IMDF_scanner
TBFneg,4,103,73,9999,73,9999,Faces_007_h.jpg,86.jpg,no,one,IMDF_scanner
TBFneg,4,104,74,9999,74,9999,Faces_028_h.jpg,87.jpg,no,one,IMDF_scanner
TBFneg,4,105,75,9999,75,9999,Faces_041_h.jpg,870.jpg,no,one,IMDF_scanner
TBFneg,4,106,76,9999,76,9999,Faces_283_h.jpg,877.jpg,no,two,IMDF_scanner
TBFneg,4,107,77,9999,77,9999,Landscapes_002_h.jpg,884.jpg,no,two,IMDF_scanner
TBFneg,4,108,78,9999,78,9999,Objects_003_h.jpg,895.jpg,no,two,IMDF_scanner
TBFneg,4,109,79,9999,79,9999,People_003_h.jpg,896.jpg,no,two,IMDF_scanner
TBFneg,4,110,80,9999,80,9999,People_147_h.jpg,897.jpg,no,two,IMDF_scanner
TBFneg,4,111,81,9999,81,9999,6370.jpg,9.jpg,no,two,IMDF_scanner
TBFneg,4,112,82,9999,82,9999,6555.jpg,90.jpg,no,two,IMDF_scanner
TBFneg,4,113,83,9999,83,9999,6830.jpg,900.jpg,no,two,IMDF_scanner
TBFneg,4,114,84,9999,84,9999,9423.jpg,916.jpg,no,two,IMDF_scanner
TBFneg,4,115,85,9999,85,9999,9424.jpg,917.jpg,no,two,IMDF_scanner
TBFneg,4,116,86,9999,86,9999,9425.jpg,920.jpg,no,two,IMDF_scanner
TBFneg,4,117,87,9999,87,9999,Animals_073_h.jpg,926.jpg,no,two,IMDF_scanner
TBFneg,4,118,88,9999,88,9999,Faces_272_h.jpg,932.jpg,no,two,IMDF_scanner
TBFneg,4,119,89,9999,89,9999,H123.bmp,942.jpg,no,two,IMDF_scanner
TBFneg,4,120,90,9999,90,9999,Objects_001_h.jpg,947.jpg,no,two,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
NULL,,9999,,,,,,,,,IMDF_scanner
