Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,IMDF_scanner,90.jpg,6555.jpg,1,9999,82,red,TBF_neg,IMDF_scanner,no,,9999,82,112,4,4,TBF,two,66
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,67
neu,IMDF_scanner,10.jpg,neutral_001.jpg,1,31,9999,green,TBR_neu,IMDF_scanner,no,,31,9999,1,1,4,TBR,one,68
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,69
neg,IMDF_scanner,870.jpg,Faces_041_h.jpg,1,9999,75,green,TBR_neg,IMDF_scanner,no,,9999,75,105,4,4,TBR,one,70
neg,IMDF_scanner,86.jpg,Faces_007_h.jpg,1,9999,73,red,TBF_neg,IMDF_scanner,no,,9999,73,103,4,4,TBF,one,71
neu,IMDF_scanner,553.jpg,neutral_145.jpg,1,9999,51,red,TBF_neu,IMDF_scanner,no,,81,9999,81,3,4,TBF,two,72
neu,IMDF_scanner,113.jpg,neutral_069.jpg,1,34,9999,green,TBR_neu,IMDF_scanner,no,,34,9999,4,1,4,TBR,one,73
neg,IMDF_scanner,917.jpg,9424.jpg,1,9999,85,red,TBF_neg,IMDF_scanner,no,,9999,85,115,4,4,TBF,two,74
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,75
neg,IMDF_scanner,748.jpg,Animals_018_h.jpg,1,9999,61,green,TBR_neg,IMDF_scanner,no,,9999,61,91,4,4,TBR,one,76
neu,IMDF_scanner,51.jpg,neutral_538.jpg,1,9999,46,red,TBF_neu,IMDF_scanner,no,,76,9999,76,3,4,TBF,two,77
neg,IMDF_scanner,953.jpg,1050.jpg,,93,9999,green,FILLER,IMDF_scanner,yes,middle,9999,91,123,5,4,TBR,9999,78
neu,IMDF_scanner,975.jpg,neutral_707.jpg,,9999,92,green,FILLER,IMDF_scanner,yes,middle,94,9999,126,5,4,TBR,9999,79
neu,IMDF_scanner,952.jpg,neutral_673.jpg,,92,9999,green,FILLER,IMDF_scanner,yes,middle,92,9999,122,5,4,TBR,9999,80
neg,IMDF_scanner,954.jpg,People_143_h.jpg,,94,9999,red,FILLER,IMDF_scanner,yes,middle,9999,92,124,5,4,TBF,9999,81
neu,IMDF_scanner,140.jpg,neutral_121.jpg,2,42,9999,red,TBF_neu,IMDF_scanner,no,,42,9999,12,1,4,TBF,one,82
neg,IMDF_scanner,9.jpg,6370.jpg,2,9999,81,green,TBR_neg,IMDF_scanner,no,,9999,81,111,4,4,TBR,two,83
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,84
neu,IMDF_scanner,714.jpg,neutral_236.jpg,2,9999,57,red,TBF_neu,IMDF_scanner,no,,87,9999,87,3,4,TBF,two,85
neg,IMDF_scanner,76.jpg,Landscapes_007_h.jpg,2,9999,63,red,TBF_neg,IMDF_scanner,no,,9999,63,93,4,4,TBF,one,86
neu,IMDF_scanner,184.jpg,neutral_063.jpg,2,53,9999,green,TBR_neu,IMDF_scanner,no,,53,9999,23,1,4,TBR,two,87
neu,IMDF_scanner,23.jpg,neutral_104.jpg,2,58,9999,green,TBR_neu,IMDF_scanner,no,,58,9999,28,1,4,TBR,two,88
neg,IMDF_scanner,900.jpg,6830.jpg,2,9999,83,red,TBF_neg,IMDF_scanner,no,,9999,83,113,4,4,TBF,two,89
neg,IMDF_scanner,372.jpg,2692.jpg,2,82,9999,green,TBR_neg,IMDF_scanner,no,,9999,52,52,2,4,TBR,two,90
neu,IMDF_scanner,435.jpg,neutral_188.jpg,2,9999,33,green,TBR_neu,IMDF_scanner,no,,63,9999,63,3,4,TBR,one,91
neg,IMDF_scanner,916.jpg,9423.jpg,2,9999,84,green,TBR_neg,IMDF_scanner,no,,9999,84,114,4,4,TBR,two,92
neu,IMDF_scanner,544.jpg,neutral_014.jpg,2,9999,49,red,TBF_neu,IMDF_scanner,no,,79,9999,79,3,4,TBF,two,93
neu,IMDF_scanner,166.jpg,neutral_422.jpg,2,49,9999,red,TBF_neu,IMDF_scanner,no,,49,9999,19,1,4,TBF,two,94
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,95
neu,IMDF_scanner,538.jpg,neutral_560.jpg,2,9999,47,green,TBR_neu,IMDF_scanner,no,,77,9999,77,3,4,TBR,two,96
neu,IMDF_scanner,476.jpg,neutral_456.jpg,2,9999,41,red,TBF_neu,IMDF_scanner,no,,71,9999,71,3,4,TBF,one,97
