Emotion,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neu,9999,battery02b.jpg,neutral_509.jpg,1,31,red,NT_neu,TNT_scanner,no,55,9999,54,30,35,two,NT,76
neu,9999,shirt01.jpg,neutral_007.jpg,1,28,green,T_neu,TNT_scanner,no,52,9999,51,27,35,two,T,77
neu,29,toothbrush03b.jpg,neutral_390.jpg,1,9999,green,T_neu,TNT_scanner,no,29,9999,4,4,35,two,T,78
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,35,two,None,79
neg,9999,hanger02a.jpg,People_077_vfear.jpg,1,59,red,NT_neg,TNT_scanner,no,9999,59,82,46,35,two,NT,80
neg,58,globe.jpg,People_201_vsadterror.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,34,33,21,35,two,T,81
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,2,58,red,NT_neg,TNT_scanner,no,9999,58,81,45,35,two,NT,82
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,35,two,None,83
neg,9999,spoon01.jpg,Animals_008_v_disgust.jpg,2,60,green,T_neg,TNT_scanner,no,9999,60,83,47,35,two,T,84
neu,9999,birdie.jpg,neutral_614.jpg,2,37,red,NT_neu,TNT_scanner,no,61,9999,60,36,35,two,NT,85
neg,9999,stapler03a.jpg,People_001_hsadterror.jpg,2,54,red,NT_neg,TNT_scanner,no,9999,54,77,41,35,two,NT,86
neu,37,bottlecap.jpg,neutral_134.jpg,2,9999,red,NT_neu,TNT_scanner,no,37,9999,12,12,35,two,NT,87
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,35,two,None,88
neu,33,fan.jpg,neutral_706.jpg,2,9999,green,T_neu,TNT_scanner,no,33,9999,8,8,35,two,T,89
neg,54,box01.jpg,2900.1_people_crying.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,30,29,17,35,two,NT,90
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,35,two,None,91
neu,30,radio02.jpg,neutral_331.jpg,2,9999,green,T_neu,TNT_scanner,no,30,9999,5,5,35,two,T,92
neg,9999,pillow02b.jpg,2700._people_crying_sad.jpg,2,57,green,T_neg,TNT_scanner,no,9999,57,80,44,35,two,T,93
neu,35,chessboard.jpg,neutral_227.jpg,2,9999,red,NT_neu,TNT_scanner,no,35,9999,10,10,35,two,NT,94
neu,31,negativefilm.jpg,neutral_192.jpg,2,9999,green,T_neu,TNT_scanner,no,31,9999,6,6,35,two,T,95
neg,55,safetypin.jpg,8480_people_fear.jpg,2,9999,green,T_neg,TNT_scanner,no,9999,31,30,18,35,two,T,96
neu,9999,binder03b.jpg,neutral_512.jpg,3,33,red,NT_neu,TNT_scanner,no,57,9999,56,32,35,two,NT,97
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,35,two,None,98
neu,28,belt02a.jpg,neutral_293.jpg,3,9999,green,T_neu,TNT_scanner,no,28,9999,3,3,35,two,T,99
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,3,50,red,NT_neg,TNT_scanner,no,9999,50,73,37,35,two,NT,100
neg,9999,glassmop.jpg,9440_object_disgustandfear.jpg,3,53,green,T_neg,TNT_scanner,no,9999,53,76,40,35,two,T,101
neu,9999,cup01.jpg,neutral_195.jpg,3,35,green,T_neu,TNT_scanner,no,59,9999,58,34,35,two,T,102
neu,9999,pylon.jpg,neutral_065.jpg,3,26,red,NT_neu,TNT_scanner,no,50,9999,49,25,35,two,NT,103
neg,9999,boot02b.jpg,Objects_328_hdisgust.jpg,3,51,red,NT_neg,TNT_scanner,no,9999,51,74,38,35,two,NT,104
neu,9999,pencilsharpener02a.jpg,neutral_022.jpg,3,34,red,NT_neu,TNT_scanner,no,58,9999,57,33,35,two,NT,105
neg,57,pictureframe04.jpg,9433_people-disgust.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,33,32,20,35,two,T,106
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,35,two,None,107
neu,26,hat03b.jpg,neutral_017.jpg,3,9999,green,T_neu,TNT_scanner,no,26,9999,1,1,35,two,T,108
neg,52,key01.jpg,1033_animal_fearanddisgust.jpg,3,9999,red,NT_neg,TNT_scanner,no,9999,28,27,15,35,two,NT,109
neg,9999,measuringcup01.jpg,2811_object_fear.jpg,3,61,green,T_neg,TNT_scanner,no,9999,61,84,48,35,two,T,110
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,35,two,None,111
neu,9999,lifejacket.jpg,neutral_247.jpg,4,36,green,T_neu,TNT_scanner,no,60,9999,59,35,35,two,T,112
neu,34,lock03a.jpg,neutral_659.jpg,4,9999,red,NT_neu,TNT_scanner,no,34,9999,9,9,35,two,NT,113
neg,56,makeupbrush04.jpg,People_127_fearh.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,32,31,19,35,two,NT,114
neu,32,ring01.jpg,neutral_226.jpg,4,9999,green,T_neu,TNT_scanner,no,32,9999,7,7,35,two,T,115
neu,36,chair.jpg,neutral_144.jpg,4,9999,red,NT_neu,TNT_scanner,no,36,9999,11,11,35,two,NT,116
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,36,35,23,35,two,NT,117
neg,50,thimble.jpg,Objects_021_vdisgust.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,26,25,13,35,two,T,118
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,35,two,None,119
neu,9999,stackingrings01a.jpg,neutral_246.jpg,4,29,green,T_neu,TNT_scanner,no,53,9999,52,28,35,two,T,120
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,35,two,None,121
neg,9999,book01b.jpg,9412_people_sad.jpg,4,52,green,T_neg,TNT_scanner,no,9999,52,75,39,35,two,T,122
neg,9999,dice05a.jpg,9050_people_accideNT.jpg,4,56,red,NT_neg,TNT_scanner,no,9999,56,79,43,35,two,NT,123
neg,9999,mirror.jpg,2981_animal_disgust.jpg,4,55,green,T_neg,TNT_scanner,no,9999,55,78,42,35,two,T,124
neu,27,tuque03b.jpg,neutral_098.jpg,4,9999,red,NT_neu,TNT_scanner,no,27,9999,2,2,35,two,NT,125
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,35,two,None,126
neu,9999,fryingpan02a.jpg,neutral_066.jpg,,74,red,NTneuFILLER,TNT_scanner,yes,9999,75,99,filler,35,two,NT,127
neg,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,green,NTnegFILLER,TNT_scanner,yes,75,999,100,filler,35,two,T,128
