Emotion,Exp_ID,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,filler_type,main_run,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neu,TNT_scanner,37,bottlecap.jpg,neutral_134.jpg,4,9999,green,T_neu,TNT_scanner,no,,first,37,9999,12,12,47,one,T,59
neg,TNT_scanner,9999,hanger02a.jpg,People_077_vfear.jpg,4,59,green,T_neg,TNT_scanner,no,,first,9999,59,82,46,47,one,T,60
neg,TNT_scanner,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,4,50,red,NT_neg,TNT_scanner,no,,first,9999,50,73,37,47,one,NT,61
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,47,one,None,62
neg,TNT_scanner,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,red,FILLER,TNT_scanner,yes,last,first,75,999,100,filler,47,one,NT,63
neu,TNT_scanner,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,FILLER,TNT_scanner,yes,last,first,9999,74,97,filler,47,one,T,64
neu,TNT_scanner,9999,fryingpan02a.jpg,neutral_066.jpg,,74,red,FILLER,TNT_scanner,yes,first,first,9999,75,99,filler,47,two,NT,65
neg,TNT_scanner,75,microscope.jpg,Objects_283_hsad.jpg,,9999,green,FILLER,TNT_scanner,yes,first,first,74,999,98,filler,47,two,T,66
neg,TNT_scanner,9999,boot02b.jpg,Objects_328_hdisgust.jpg,1,51,green,T_neg,TNT_scanner,no,,first,9999,51,74,38,47,two,T,67
neu,TNT_scanner,9999,shirt01.jpg,neutral_007.jpg,1,28,green,T_neu,TNT_scanner,no,,first,52,9999,51,27,47,two,T,68
neg,TNT_scanner,9999,glassmop.jpg,9440_object_disgustandfear.jpg,1,53,green,T_neg,TNT_scanner,no,,first,9999,53,76,40,47,two,T,69
neg,TNT_scanner,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,red,NT_neg,TNT_scanner,no,,first,9999,35,34,22,47,two,NT,70
neg,TNT_scanner,9999,pillow02b.jpg,2700._people_crying_sad.jpg,1,57,red,NT_neg,TNT_scanner,no,,first,9999,57,80,44,47,two,NT,71
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,72
neu,TNT_scanner,32,ring01.jpg,neutral_226.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,32,9999,7,7,47,two,NT,73
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,74
neu,TNT_scanner,29,toothbrush03b.jpg,neutral_390.jpg,1,9999,green,T_neu,TNT_scanner,no,,first,29,9999,4,4,47,two,T,75
neu,TNT_scanner,26,hat03b.jpg,neutral_017.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,26,9999,1,1,47,two,NT,76
neu,TNT_scanner,28,belt02a.jpg,neutral_293.jpg,1,9999,red,NT_neu,TNT_scanner,no,,first,28,9999,3,3,47,two,NT,77
neg,TNT_scanner,57,pictureframe04.jpg,9433_people-disgust.jpg,1,9999,green,T_neg,TNT_scanner,no,,first,9999,33,32,20,47,two,T,78
neg,TNT_scanner,9999,dice05a.jpg,9050_people_accideNT.jpg,1,56,red,NT_neg,TNT_scanner,no,,first,9999,56,79,43,47,two,NT,79
neu,TNT_scanner,34,lock03a.jpg,neutral_659.jpg,1,9999,green,T_neu,TNT_scanner,no,,first,34,9999,9,9,47,two,T,80
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,81
neg,TNT_scanner,9999,hanger02a.jpg,People_077_vfear.jpg,2,59,green,T_neg,TNT_scanner,no,,first,9999,59,82,46,47,two,T,82
neg,TNT_scanner,61,wallet04.jpg,People_140_hsad.jpg,2,9999,red,NT_neg,TNT_scanner,no,,first,9999,37,36,24,47,two,NT,83
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,84
neg,TNT_scanner,60,towel02a.jpg,Objects_006_hdisgust.jpg,2,9999,green,T_neg,TNT_scanner,no,,first,9999,36,35,23,47,two,T,85
neu,TNT_scanner,9999,binder03b.jpg,neutral_512.jpg,2,33,green,T_neu,TNT_scanner,no,,first,57,9999,56,32,47,two,T,86
neu,TNT_scanner,33,fan.jpg,neutral_706.jpg,2,9999,red,NT_neu,TNT_scanner,no,,first,33,9999,8,8,47,two,NT,87
neg,TNT_scanner,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,2,50,red,NT_neg,TNT_scanner,no,,first,9999,50,73,37,47,two,NT,88
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,89
neu,TNT_scanner,9999,stackingrings01a.jpg,neutral_246.jpg,2,29,red,NT_neu,TNT_scanner,no,,first,53,9999,52,28,47,two,NT,90
neg,TNT_scanner,9999,stapler03a.jpg,People_001_hsadterror.jpg,2,54,red,NT_neg,TNT_scanner,no,,first,9999,54,77,41,47,two,NT,91
neu,TNT_scanner,9999,bow04.jpg,neutral_128.jpg,2,27,green,T_neu,TNT_scanner,no,,first,51,9999,50,26,47,two,T,92
neu,TNT_scanner,9999,lifejacket.jpg,neutral_247.jpg,2,36,red,NT_neu,TNT_scanner,no,,first,60,9999,59,35,47,two,NT,93
neu,TNT_scanner,30,radio02.jpg,neutral_331.jpg,2,9999,green,T_neu,TNT_scanner,no,,first,30,9999,5,5,47,two,T,94
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,95
neg,TNT_scanner,50,thimble.jpg,Objects_021_vdisgust.jpg,2,9999,green,T_neg,TNT_scanner,no,,first,9999,26,25,13,47,two,T,96
neg,TNT_scanner,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,3,9999,green,T_neg,TNT_scanner,no,,first,9999,27,26,14,47,two,T,97
neu,TNT_scanner,9999,pencilsharpener02a.jpg,neutral_022.jpg,3,34,green,T_neu,TNT_scanner,no,,first,58,9999,57,33,47,two,T,98
neg,TNT_scanner,56,makeupbrush04.jpg,People_127_fearh.jpg,3,9999,red,NT_neg,TNT_scanner,no,,first,9999,32,31,19,47,two,NT,99
neu,TNT_scanner,31,negativefilm.jpg,neutral_192.jpg,3,9999,green,T_neu,TNT_scanner,no,,first,31,9999,6,6,47,two,T,100
None,TNT_scanner,,,,3,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,101
neu,TNT_scanner,9999,hinge.jpg,neutral_582.jpg,3,30,red,NT_neu,TNT_scanner,no,,first,54,9999,53,29,47,two,NT,102
neg,TNT_scanner,53,calculator01.jpg,6520_people_fear.jpg,3,9999,green,T_neg,TNT_scanner,no,,first,9999,29,28,16,47,two,T,103
None,TNT_scanner,,,,3,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,104
neg,TNT_scanner,54,box01.jpg,2900.1_people_crying.jpg,3,9999,red,NT_neg,TNT_scanner,no,,first,9999,30,29,17,47,two,NT,105
neg,TNT_scanner,55,safetypin.jpg,8480_people_fear.jpg,3,9999,green,T_neg,TNT_scanner,no,,first,9999,31,30,18,47,two,T,106
neu,TNT_scanner,9999,cup01.jpg,neutral_195.jpg,3,35,red,NT_neu,TNT_scanner,no,,first,59,9999,58,34,47,two,NT,107
neu,TNT_scanner,9999,pylon.jpg,neutral_065.jpg,3,26,red,NT_neu,TNT_scanner,no,,first,50,9999,49,25,47,two,NT,108
None,TNT_scanner,,,,3,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,109
neu,TNT_scanner,9999,battery02b.jpg,neutral_509.jpg,3,31,green,T_neu,TNT_scanner,no,,first,55,9999,54,30,47,two,T,110
neg,TNT_scanner,9999,measuringcup01.jpg,2811_object_fear.jpg,3,61,red,NT_neg,TNT_scanner,no,,first,9999,61,84,48,47,two,NT,111
neg,TNT_scanner,9999,plasticflower01a.jpg,6550_people_fear.jpg,4,58,green,T_neg,TNT_scanner,no,,first,9999,58,81,45,47,two,T,112
neu,TNT_scanner,27,tuque03b.jpg,neutral_098.jpg,4,9999,green,T_neu,TNT_scanner,no,,first,27,9999,2,2,47,two,T,113
neg,TNT_scanner,58,globe.jpg,People_201_vsadterror.jpg,4,9999,green,T_neg,TNT_scanner,no,,first,9999,34,33,21,47,two,T,114
neg,TNT_scanner,52,key01.jpg,1033_animal_fearanddisgust.jpg,4,9999,red,NT_neg,TNT_scanner,no,,first,9999,28,27,15,47,two,NT,115
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,116
neu,TNT_scanner,9999,watch02a.jpg,neutral_380.jpg,4,32,green,T_neu,TNT_scanner,no,,first,56,9999,55,31,47,two,T,117
neu,TNT_scanner,36,chair.jpg,neutral_144.jpg,4,9999,red,NT_neu,TNT_scanner,no,,first,36,9999,11,11,47,two,NT,118
neg,TNT_scanner,9999,spoon01.jpg,Animals_008_v_disgust.jpg,4,60,red,NT_neg,TNT_scanner,no,,first,9999,60,83,47,47,two,NT,119
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,120
neu,TNT_scanner,9999,birdie.jpg,neutral_614.jpg,4,37,red,NT_neu,TNT_scanner,no,,first,61,9999,60,36,47,two,NT,121
neg,TNT_scanner,9999,book01b.jpg,9412_people_sad.jpg,4,52,green,T_neg,TNT_scanner,no,,first,9999,52,75,39,47,two,T,122
neg,TNT_scanner,9999,mirror.jpg,2981_animal_disgust.jpg,4,55,red,NT_neg,TNT_scanner,no,,first,9999,55,78,42,47,two,NT,123
None,TNT_scanner,,,,4,,None,NULL,TNT_scanner,,,first,,,9999,,47,two,None,124
neu,TNT_scanner,37,bottlecap.jpg,neutral_134.jpg,4,9999,red,NT_neu,TNT_scanner,no,,first,37,9999,12,12,47,two,NT,125
neu,TNT_scanner,35,chessboard.jpg,neutral_227.jpg,4,9999,green,T_neu,TNT_scanner,no,,first,35,9999,10,10,47,two,T,126
neu,TNT_scanner,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,FILLER,TNT_scanner,yes,last,first,9999,74,97,filler,47,two,T,127
neg,TNT_scanner,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,red,FILLER,TNT_scanner,yes,last,first,75,999,100,filler,47,two,NT,128
neg,TNT_scanner,75,microscope.jpg,Objects_283_hsad.jpg,,9999,red,FILLER,TNT_scanner,yes,first,second,74,999,98,filler,47,one,NT,129
neu,TNT_scanner,9999,fryingpan02a.jpg,neutral_066.jpg,,74,red,FILLER,TNT_scanner,yes,first,second,9999,75,99,filler,47,one,NT,130
neg,TNT_scanner,55,safetypin.jpg,8480_people_fear.jpg,1,9999,green,T_neg,TNT_scanner,no,,second,9999,31,30,18,47,one,T,131
neg,TNT_scanner,56,makeupbrush04.jpg,People_127_fearh.jpg,1,9999,green,T_neg,TNT_scanner,no,,second,9999,32,31,19,47,one,T,132
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,second,,,9999,,47,one,None,133
neu,TNT_scanner,9999,birdie.jpg,neutral_614.jpg,1,37,green,T_neu,TNT_scanner,no,,second,61,9999,60,36,47,one,T,134
neg,TNT_scanner,58,globe.jpg,People_201_vsadterror.jpg,1,9999,red,NT_neg,TNT_scanner,no,,second,9999,34,33,21,47,one,NT,135
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,second,,,9999,,47,one,None,136
neu,TNT_scanner,32,ring01.jpg,neutral_226.jpg,1,9999,green,T_neu,TNT_scanner,no,,second,32,9999,7,7,47,one,T,137
neg,TNT_scanner,54,box01.jpg,2900.1_people_crying.jpg,1,9999,red,NT_neg,TNT_scanner,no,,second,9999,30,29,17,47,one,NT,138
neu,TNT_scanner,9999,bow04.jpg,neutral_128.jpg,1,27,green,T_neu,TNT_scanner,no,,second,51,9999,50,26,47,one,T,139
None,TNT_scanner,,,,1,,None,NULL,TNT_scanner,,,second,,,9999,,47,one,None,140
neu,TNT_scanner,33,fan.jpg,neutral_706.jpg,1,9999,red,NT_neu,TNT_scanner,no,,second,33,9999,8,8,47,one,NT,141
neu,TNT_scanner,9999,pencilsharpener02a.jpg,neutral_022.jpg,1,34,red,NT_neu,TNT_scanner,no,,second,58,9999,57,33,47,one,NT,142
neu,TNT_scanner,28,belt02a.jpg,neutral_293.jpg,1,9999,red,NT_neu,TNT_scanner,no,,second,28,9999,3,3,47,one,NT,143
neg,TNT_scanner,59,measuringtape01.jpg,Faces_363_vsad.jpg,1,9999,green,T_neg,TNT_scanner,no,,second,9999,35,34,22,47,one,T,144
neg,TNT_scanner,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,1,9999,red,NT_neg,TNT_scanner,no,,second,9999,27,26,14,47,one,NT,145
neu,TNT_scanner,9999,battery02b.jpg,neutral_509.jpg,2,31,red,NT_neu,TNT_scanner,no,,second,55,9999,54,30,47,one,NT,146
neg,TNT_scanner,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,2,50,green,T_neg,TNT_scanner,no,,second,9999,50,73,37,47,one,T,147
neu,TNT_scanner,9999,hinge.jpg,neutral_582.jpg,2,30,red,NT_neu,TNT_scanner,no,,second,54,9999,53,29,47,one,NT,148
neg,TNT_scanner,50,thimble.jpg,Objects_021_vdisgust.jpg,2,9999,red,NT_neg,TNT_scanner,no,,second,9999,26,25,13,47,one,NT,149
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,second,,,9999,,47,one,None,150
neu,TNT_scanner,36,chair.jpg,neutral_144.jpg,2,9999,red,NT_neu,TNT_scanner,no,,second,36,9999,11,11,47,one,NT,151
neg,TNT_scanner,9999,dice05a.jpg,9050_people_accideNT.jpg,2,56,green,T_neg,TNT_scanner,no,,second,9999,56,79,43,47,one,T,152
neg,TNT_scanner,53,calculator01.jpg,6520_people_fear.jpg,2,9999,red,NT_neg,TNT_scanner,no,,second,9999,29,28,16,47,one,NT,153
neu,TNT_scanner,9999,binder03b.jpg,neutral_512.jpg,2,33,green,T_neu,TNT_scanner,no,,second,57,9999,56,32,47,one,T,154
None,TNT_scanner,,,,2,,None,NULL,TNT_scanner,,,second,,,9999,,47,one,None,155
