Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neg,IMDF_memory_postscan,884.jpg,Landscapes_002_h.jpg,107,897.jpg,332.jpg,
neg,IMDF_memory_postscan,87.jpg,Faces_028_h.jpg,104,406.jpg,779.jpg,
neu,IMDF_memory_postscan,731.jpg,neutral_244.jpg,90,152.jpg,113.jpg,
neg,IMDF_memory_postscan,76.jpg,Landscapes_007_h.jpg,93,809.jpg,79.jpg,
neg,IMDF_memory_postscan,268.jpg,Objects_088_h.jpg,36,76.jpg,942.jpg,
neg,IMDF_memory_postscan,316.jpg,Faces_019_h.jpg,44,307.jpg,748.jpg,
neu,IMDF_memory_postscan,184.jpg,neutral_063.jpg,23,51.jpg,170.jpg,
neg,IMDF_memory_postscan,953.jpg,1050.jpg,filler,954.jpg,987.jpg,middle
neg,IMDF_memory_postscan,409.jpg,9630.jpg,60,257.jpg,313.jpg,
neu,IMDF_memory_postscan,435.jpg,neutral_188.jpg,63,506.jpg,132.jpg,
neu,IMDF_memory_postscan,138.jpg,neutral_119.jpg,11,20.jpg,156.jpg,
neg,IMDF_memory_postscan,9.jpg,6370.jpg,111,4.jpg,884.jpg,
neg,IMDF_memory_postscan,90.jpg,6555.jpg,112,409.jpg,280.jpg,
neg,IMDF_memory_postscan,932.jpg,Faces_272_h.jpg,118,900.jpg,802.jpg,
neu,IMDF_memory_postscan,506.jpg,neutral_532.jpg,75,24.jpg,560.jpg,
neg,IMDF_memory_postscan,373.jpg,6210.jpg,53,769.jpg,926.jpg,
neg,IMDF_memory_postscan,779.jpg,Objects_022_h.jpg,95,926.jpg,25.jpg,
neg,IMDF_memory_postscan,836.jpg,People_233_h.jpg,100,316.jpg,82.jpg,
neu,IMDF_memory_postscan,952.jpg,neutral_673.jpg,filler,957.jpg,975.jpg,last
neg,IMDF_memory_postscan,954.jpg,People_143_h.jpg,filler,981.jpg,953.jpg,last
